year_rating,genres,rating
2018,(no genres listed),3.676470588235294
2018,Action,2.588235294117647
2018,Action|Adventure,3.3974358974358974
2018,Action|Adventure|Animation,3.65
2018,Action|Adventure|Animation|Children,3.1666666666666665
2018,Action|Adventure|Animation|Children|Comedy,3.7419354838709675
2018,Action|Adventure|Animation|Children|Comedy|Fantasy,4.142857142857143
2018,Action|Adventure|Animation|Children|Comedy|IMAX,3.7
2018,Action|Adventure|Animation|Children|Comedy|Romance,2.5
2018,Action|Adventure|Animation|Children|Comedy|Sci-Fi,4.0
2018,Action|Adventure|Animation|Children|Comedy|Western,4.166666666666667
2018,Action|Adventure|Animation|Children|Fantasy|Sci-Fi,2.8333333333333335
2018,Action|Adventure|Animation|Comedy,3.8333333333333335
2018,Action|Adventure|Animation|Comedy|Crime|Mystery,3.5
2018,Action|Adventure|Animation|Comedy|Sci-Fi,3.5
2018,Action|Adventure|Animation|Drama,2.0
2018,Action|Adventure|Animation|Drama|Fantasy,3.3333333333333335
2018,Action|Adventure|Animation|Drama|Fantasy|Sci-Fi,3.5
2018,Action|Adventure|Animation|Fantasy,4.0
2018,Action|Adventure|Animation|Fantasy|Sci-Fi,2.875
2018,Action|Adventure|Animation|Sci-Fi,2.625
2018,Action|Adventure|Animation|Sci-Fi|Thriller,4.0
2018,Action|Adventure|Children,3.6666666666666665
2018,Action|Adventure|Children|Comedy,2.9166666666666665
2018,Action|Adventure|Children|Comedy|Fantasy,3.1875
2018,Action|Adventure|Children|Comedy|Sci-Fi,3.5
2018,Action|Adventure|Children|Fantasy,3.5
2018,Action|Adventure|Children|IMAX,2.8333333333333335
2018,Action|Adventure|Children|Sci-Fi,3.9
2018,Action|Adventure|Comedy,3.225
2018,Action|Adventure|Comedy|Crime,3.5384615384615383
2018,Action|Adventure|Comedy|Crime|Fantasy,2.5
2018,Action|Adventure|Comedy|Crime|Mystery|Thriller,4.3
2018,Action|Adventure|Comedy|Crime|Thriller,3.1666666666666665
2018,Action|Adventure|Comedy|Drama|Fantasy|Thriller,4.5
2018,Action|Adventure|Comedy|Drama|War,3.0
2018,Action|Adventure|Comedy|Fantasy,3.6666666666666665
2018,Action|Adventure|Comedy|Fantasy|Horror,4.0
2018,Action|Adventure|Comedy|Fantasy|Horror|Thriller,2.3333333333333335
2018,Action|Adventure|Comedy|Fantasy|Romance,4.0
2018,Action|Adventure|Comedy|Fantasy|Sci-Fi,3.6666666666666665
2018,Action|Adventure|Comedy|Fantasy|Sci-Fi|Thriller,4.5
2018,Action|Adventure|Comedy|Romance,2.875
2018,Action|Adventure|Comedy|Romance|Thriller,3.625
2018,Action|Adventure|Comedy|Sci-Fi,3.54
2018,Action|Adventure|Comedy|Sci-Fi|IMAX,0.5
2018,Action|Adventure|Comedy|Thriller,3.8333333333333335
2018,Action|Adventure|Comedy|War,3.5
2018,Action|Adventure|Comedy|Western,3.5
2018,Action|Adventure|Crime,2.9
2018,Action|Adventure|Crime|Drama,2.5
2018,Action|Adventure|Crime|Drama|Romance|Thriller,1.5
2018,Action|Adventure|Crime|Drama|Thriller,4.1
2018,Action|Adventure|Crime|Drama|Thriller|War,3.625
2018,Action|Adventure|Crime|Horror|Thriller,3.75
2018,Action|Adventure|Crime|IMAX,3.8461538461538463
2018,Action|Adventure|Crime|Thriller,2.6666666666666665
2018,Action|Adventure|Drama,4.0576923076923075
2018,Action|Adventure|Drama|Fantasy,3.5952380952380953
2018,Action|Adventure|Drama|Fantasy|IMAX,3.0
2018,Action|Adventure|Drama|Fantasy|Mystery|IMAX,4.1
2018,Action|Adventure|Drama|Fantasy|Thriller,3.75
2018,Action|Adventure|Drama|Mystery|Thriller,3.5
2018,Action|Adventure|Drama|Sci-Fi,3.25
2018,Action|Adventure|Drama|Sci-Fi|Thriller,2.9761904761904763
2018,Action|Adventure|Drama|Thriller,3.5
2018,Action|Adventure|Drama|Thriller|IMAX,2.5
2018,Action|Adventure|Drama|War,3.125
2018,Action|Adventure|Fantasy,3.1808510638297873
2018,Action|Adventure|Fantasy|Horror,3.25
2018,Action|Adventure|Fantasy|Horror|Thriller,3.5
2018,Action|Adventure|Fantasy|IMAX,3.4210526315789473
2018,Action|Adventure|Fantasy|Mystery,3.0
2018,Action|Adventure|Fantasy|Romance,2.5
